grid_id,mlp_pred5_2000,mlp_pred5_2005,mlp_pred5_2010,mlp_pred5_2015,mlp_pred5_2020,class_2000,class_2005,class_2010,class_2015,class_2020,LST_2000,LST_2005,LST_2010,LST_2015,LST_2020
3794,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.173999999999978,28.234000000000094,29.062000000000012,29.82200000000006,29.58200000000005
3795,water,water,water,water,water,water,water,water,water,water,,,,,
3796,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.450000000000045,31.450000000000045,31.390000000000043,30.879999999999995,30.639999999999986
3797,green_space,production,production,production,production,green_space,production,production,production,production,31.389999999999986,32.79000000000002,34.47000000000003,34.33000000000004,35.05000000000007
3798,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,29.232727272727345,28.975454545454568,28.32363636363641,28.54727272727274,27.923636363636376
3799,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.360000000000014,34.170000000000016,34.710000000000036,36.26000000000005,36.01000000000005
3800,farmland,green_space,green_space,living,living,farmland,green_space,green_space,living,living,34.23000000000002,36.03000000000003,36.160000000000025,36.73000000000002,37.02000000000004
3801,green_space,green_space,green_space,water,green_space,green_space,green_space,green_space,water,green_space,29.202258064516172,28.95774193548391,29.176774193548454,29.07645161290327,29.877741935483925
3802,living,living,living,living,production,living,living,living,living,production,32.85000000000002,34.83000000000004,36.23000000000002,35.98000000000002,36.85000000000002
3803,green_space,green_space,water,green_space,living,green_space,green_space,water,green_space,living,35.85000000000002,34.97000000000003,37.25000000000006,36.43000000000001,37.89000000000004
3804,farmland,green_space,living,production,production,farmland,green_space,living,production,production,33.84000000000003,35.32000000000005,36.700000000000045,36.23000000000002,37.03000000000003
3805,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,32.05000000000007,32.57000000000005,31.480000000000018,32.35000000000002,32.77000000000004
3806,green_space,green_space,green_space,green_space,production,green_space,green_space,green_space,green_space,production,30.54000000000002,29.690000000000055,29.790000000000077,30.250000000000057,29.730000000000018
3807,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,33.81,33.82000000000005,34.13000000000005,34.25000000000006,34.39000000000004
3808,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,28.585172413793146,29.43275862068964,29.312068965517255,30.20551724137931,29.814827586206945
3809,water,water,living,living,living,water,water,living,living,living,32.64000000000004,36.4546666666667,36.831333333333305,36.86733333333336,36.984666666666726
3810,living,living,living,living,living,living,living,living,living,living,33.01000000000005,33.700000000000045,33.410000000000025,34.629999999999995,30.900000000000034
3811,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,27.130000000000052,28.640000000000043,27.75,28.53000000000003,28.79000000000002
3812,green_space,green_space,green_space,production,green_space,green_space,green_space,green_space,production,green_space,30.5,31.05000000000001,31.25999999999999,32.09000000000003,31.950000000000045
3813,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,28.494193548387102,29.190645161290377,29.53064516129035,29.574838709677465,29.978387096774213
3814,green_space,green_space,green_space,green_space,production,green_space,green_space,green_space,green_space,production,33.05000000000001,34.80000000000007,34.190000000000055,34.360000000000014,35.07000000000005
3815,farmland,living,living,living,living,farmland,living,living,living,living,33.13068965517243,35.00413793103445,35.041379310344894,36.05896551724146,37.294482758620745
3816,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.25,30.08000000000004,30.77000000000004,31.110000000000014,30.870000000000005
3817,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.14375000000001,33.99666666666667,34.0291666666667,34.74750000000006,33.04916666666668
3818,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,31.33000000000004,32.170000000000016,32.910000000000025,32.47000000000003,32.64000000000004
3819,green_space,production,production,green_space,living,green_space,production,production,green_space,living,30.507666666666637,30.10066666666671,30.125333333333344,30.387333333333345,31.527333333333388
3820,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,27.77000000000004,28.220000000000027,28.33000000000004,28.630000000000052,28.110000000000014
3821,living,living,living,production,living,living,living,living,production,living,34.813103448275854,36.02655172413802,37.440689655172434,37.77000000000004,38.75344827586207
3822,green_space,farmland,living,production,production,green_space,farmland,living,production,production,32.32272727272726,34.13909090909095,36.650909090909124,37.897272727272764,37.88818181818186
3823,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.310000000000002,30.99000000000001,33.43000000000001,34.25,35.56000000000006
3824,water,green_space,water,living,living,water,green_space,water,living,living,35.20500000000004,34.860000000000014,35.81000000000006,35.454999999999984,34.50000000000006
3825,farmland,farmland,living,green_space,living,farmland,farmland,living,green_space,living,27.74655172413793,28.20551724137931,28.102413793103494,28.618620689655188,29.075517241379316
3826,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.35451612903228,33.972580645161315,36.53419354838712,36.99483870967748,38.16129032258067
3827,green_space,living,production,production,living,green_space,living,production,production,living,30.54000000000002,32.31000000000006,34.78000000000003,35.670000000000016,35.870000000000005
3828,farmland,green_space,production,production,production,farmland,green_space,production,production,production,30.53000000000003,31.33000000000004,32.99000000000001,33.27000000000004,35.940000000000055
3829,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.49000000000001,31.350000000000023,30.930000000000007,31.460000000000036,30.630000000000052
3830,living,living,living,production,green_space,living,living,living,production,green_space,30.77000000000004,31.190000000000055,30.930000000000064,33.02000000000004,30.370000000000005
3831,green_space,water,water,water,water,green_space,water,water,water,water,30.00999999999999,30.140000000000043,29.83000000000004,31.420000000000016,30.83000000000004
3832,living,living,living,production,living,living,living,living,production,living,32.47000000000003,34.82000000000005,34.210000000000036,35.30000000000007,33.150000000000034
3833,water,water,water,living,living,water,water,water,living,living,32.190000000000055,33.29000000000002,33.910000000000025,34.940000000000055,34.660000000000025
3834,living,living,production,green_space,living,living,living,production,green_space,living,33.00999999999999,34.85000000000002,36.47000000000003,36.28000000000003,37.610000000000014
