grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7321,302.88,0.0,302.88,302.88,302.88
7322,301.02,0.0,301.02,301.02,301.02
7323,309.88,0.0,309.88,309.88,309.88
7325,305.0186666666667,0.309999999992264,304.44,305.06,305.06
7326,304.46,0.375,304.01,304.76,304.76
7327,302.624,0.4349712634110835,302.28000000000003,303.40000000000003,302.4
7330,301.48,0.0,301.48,301.48,301.48
7332,303.0,0.0,303.0,303.0,303.0
7334,302.77741935483874,0.25,302.6,303.1,302.6
7335,306.95,0.0,306.95,306.95,306.95
7336,310.29482758620696,0.5700000000060454,309.43,310.57000000000005,310.57000000000005
7337,307.9612903225806,0.1999999999839929,307.6,308.0,308.0
7339,304.77,0.0,304.77,304.77,304.77
7340,303.898064516129,1.1199999999958528,303.32,305.56,303.32
7341,301.73483870967743,0.07999999998995917,301.58000000000004,301.74,301.74
7342,301.2395652173913,0.25500000006395995,301.04,301.54999999999995,301.04
7343,301.33681818181816,0.5550000000182699,300.58000000000004,301.69,301.69
7344,308.6089655172414,0.6200000000197343,307.53999999999996,308.78000000000003,308.78000000000003
7346,300.5296774193548,0.2599999999901047,300.06,300.58,300.58
7348,301.928,0.17999999999004002,301.64,302.0,302.0
7349,305.7,0.0,305.7,305.7,305.7
7351,304.62,0.0,304.62,304.62,304.62
7352,305.56,0.0,305.56,305.56,305.56
7353,302.73,0.0,302.73,302.73,302.73
7354,303.51290322580644,0.22000000003233172,303.3,303.74,303.3
7355,303.38,0.0,303.38,303.38,303.38
7357,303.36904761904765,0.3704389288575536,303.08,304.01,303.13
7362,302.2993333333333,0.28000000002332465,301.87,302.43,302.43
7364,303.82,0.0,303.82,303.82,303.82
7366,305.34000000000003,0.0,305.34000000000003,305.34000000000003,305.34000000000003
7367,302.5026666666667,0.06999999979145026,302.4,302.54,302.54
7369,311.30333333333334,0.4299999999917697,310.73,311.59000000000003,311.59000000000003
7370,303.52,0.0,303.52,303.52,303.52
7373,303.55,0.0,303.55,303.55,303.55
7374,305.814,0.9300000000002628,304.76,306.62,306.62
7380,302.96000000000004,0.0,302.96000000000004,302.96000000000004,302.96000000000004
7383,303.06,0.0,303.06,303.06,303.06
7384,,,,,
7386,,,,,
7390,304.59799999999996,0.7700000000210303,303.52,305.06,305.06
7391,302.53599999999994,0.03000000022739793,302.52,302.58,302.52
7392,309.6696551724138,0.912195154566269,308.56,311.1,309.66
7393,302.92,0.0,302.92,302.92,302.92
7394,300.59000000000003,0.0,300.59000000000003,300.59000000000003,300.59000000000003
7397,301.34000000000003,0.0,301.34000000000003,301.34000000000003,301.34000000000003
7398,303.8689655172414,0.3307850510284407,303.5,304.32,304.03
7400,300.4791666666667,0.11085526093771168,300.40999999999997,300.68,300.40999999999997
7401,305.04,0.0,305.04,305.04,305.04
7403,305.01,0.0,305.01,305.01,305.01
7404,302.22,0.0,302.22,302.22,302.22
7405,305.68,0.7200000000005821,304.96000000000004,306.4,305.68
7406,309.44000000000005,0.0,309.44000000000005,309.44000000000005,309.44000000000005
7408,306.7033333333333,2.228457363784607,304.7,310.15,307.15999999999997
7411,306.24,0.0,306.24,306.24,306.24
7412,303.14,0.0,303.14,303.14,303.14
7413,,,,,
7419,,,,,
7420,305.98,0.0,305.98,305.98,305.98
7421,305.0571428571428,0.7800000000076267,304.5,306.06,304.5
7422,302.07333333333327,0.26000000001808915,301.64,302.15999999999997,302.15999999999997
7423,303.8786363636363,0.21500000002972652,303.82,304.25,303.82
7426,306.34,1.6399999999949175,304.7,307.98,306.34000000000003
7427,304.741,0.2550000000068936,304.35,304.86,304.86
7433,301.053,0.30103986448914294,300.8,301.53,300.89
7435,300.94,0.0,300.94,300.94,300.94
7439,304.7,0.0,304.7,304.7,304.7
7445,304.88,0.0,304.88,304.88,304.88
7446,304.11,0.0,304.11,304.11,304.11
7449,302.28000000000003,0.0,302.28000000000003,302.28000000000003,302.28000000000003
7450,301.84000000000003,0.0,301.84000000000003,301.84000000000003,301.84000000000003
7451,,,,,
7452,305.79,0.0,305.79,305.79,305.79
7453,300.8,0.0,300.8,300.8,300.8
7457,,,,,
7461,,,,,
7462,300.2834482758621,0.3408812110297835,299.76,300.58000000000004,300.36
7464,301.33,0.0,301.33,301.33,301.33
7465,301.7344827586207,0.4538232646593798,301.02,302.08,302.08
7466,304.88,0.0,304.88,304.88,304.88
7467,303.61,0.0,303.61,303.61,303.61
7468,310.46,0.0,310.46,310.46,310.46
7469,305.2,0.0,305.2,305.2,305.2
7470,300.06,0.0,300.06,300.06,300.06
7474,304.73366666666664,0.3950000000048924,303.97,304.76,304.76
7479,302.7,0.270000000025482,302.52,303.06,302.52
7480,303.95733333333334,0.8572630868034808,303.48,305.6,303.48
7484,,,,,
7486,,,,,
7487,303.2303448275862,0.8449999999963629,301.89,303.58,303.58
7488,305.03333333333336,1.1000000000029104,304.3,306.5,304.3
7489,303.47161290322583,0.4400000000150546,302.62,303.5,303.5
7490,302.02,0.0,302.02,302.02,302.02
7496,302.04999999999995,0.0,302.04999999999995,302.04999999999995,302.04999999999995
7497,301.71275862068967,0.135000000026215,301.48,301.75,301.75
7502,303.68,0.0,303.68,303.68,303.68
7503,301.5975,0.08999999987375405,301.5,301.68,301.68
7507,310.02,0.0,310.02,310.02,310.02
7508,,,,,
7509,302.42,0.0,302.42,302.42,302.42
7513,300.98,0.0,300.98,300.98,300.98
7516,301.62,0.0,301.62,301.62,301.62
7522,310.9236363636363,0.3400000000282136,310.46,311.14,311.14
7524,305.86,0.0,305.86,305.86,305.86
7525,301.2936363636364,0.08999999995459802,301.22,301.40000000000003,301.22
7526,301.4786666666667,0.06499999997653784,301.47,301.6,301.47
7527,302.89103448275864,0.02000000011117663,302.88,302.91999999999996,302.88
7528,300.9733333333333,0.2599999999901047,300.8,301.32,300.8
7529,301.32,0.0,301.32,301.32,301.32
7532,304.9232258064516,0.02000000011117663,304.90000000000003,304.94,304.94
7534,302.8904545454546,0.375,302.72,303.47,302.72
7535,301.992,0.2099999999633569,301.88,302.3,301.88
7538,,,,,
7541,307.72,0.0,307.72,307.72,307.72
7547,304.4551724137931,0.6434865966031225,304.12,305.91999999999996,304.12
7553,305.3737931034483,0.940000000000545,304.92,306.8,304.92
7554,,,,,
7560,301.65520000000004,0.5990617664359453,301.1,302.66,301.1
7562,301.04,0.0,301.04,301.04,301.04
7563,302.91586206896557,0.505470078257708,301.92,303.28000000000003,302.96000000000004
7570,302.52,0.0,302.52,302.52,302.52
7573,302.29470588235296,0.11145502329296096,302.14,302.39,302.36
7574,302.40733333333327,0.2599999999901047,302.39,302.90999999999997,302.39
7575,303.23699999999997,0.5450000000065364,302.90999999999997,304.0,302.90999999999997
7576,301.464,0.1949999999669261,301.23,301.62,301.62
7578,304.2193548387097,0.1599999999344436,303.92,304.24,304.24
7579,303.3518181818182,0.41000000002978526,303.24,304.06,303.24
7580,303.08000000000004,0.0,303.08000000000004,303.08000000000004,303.08000000000004
7584,306.44,0.0,306.44,306.44,306.44
7585,309.29,0.0,309.29,309.29,309.29
7587,302.1333333333333,0.025000000011641533,302.1,302.15,302.15
7588,307.40999999999997,0.0,307.40999999999997,307.40999999999997,307.40999999999997
7589,305.30354838709684,1.0199999999990412,303.78999999999996,305.83000000000004,305.83000000000004
7590,309.56,0.0,309.56,309.56,309.56
7594,,,,,
7595,309.98,0.7019036614788331,308.90000000000003,310.82,309.58000000000004
7598,303.16666666666663,0.2099999999980043,302.84000000000003,303.26,303.26
7599,300.28000000000003,0.0,300.28000000000003,300.28000000000003,300.28000000000003
7602,300.84000000000003,0.0,300.84000000000003,300.84000000000003,300.84000000000003
7604,300.56,0.0,300.56,300.56,300.56
